Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
3/14/2017,1318.75,1319,1285.25,1288.25,1289.5,6346620,82447.95
3/15/2017,1291.05,1316.3,1290.4,1302,1304.95,5510658,72018.63
3/16/2017,1310,1310.4,1293.6,1296.8,1297.65,3639964,47328.22
3/17/2017,1308,1319.95,1298.05,1300.55,1300.7,5195076,67681.24
3/20/2017,1306,1306.25,1278.35,1280.95,1280.8,2941714,37884.56
3/21/2017,1282.2,1283.9,1259.3,1265.2,1263.8,5165107,65607.87
3/22/2017,1252,1265.9,1246.55,1260.45,1259.7,4638338,58308
3/23/2017,1263.15,1277.55,1258,1272,1273.3,2699090,34262.25
3/24/2017,1274.1,1292,1268.45,1284,1286.75,3721911,47730.79
3/27/2017,1271.1,1278.75,1247.2,1248.5,1251.1,7418122,93337.36
3/28/2017,1258,1264,1242.1,1246.3,1245.75,4961934,62009.77
3/29/2017,1251.7,1260,1233.35,1259.2,1256.65,4325787,53921.25
3/30/2017,1255,1274.75,1253,1267.6,1270.65,6368859,80751.12
3/31/2017,1266,1337.65,1266,1320.6,1320.9,10375519,136029.18
4/3/2017,1342,1380.5,1337.05,1373.25,1374.65,10260327,140140.71
