,close_score,date,open_score
0,0.12312972972972962,3/11/2017,0.1364537037037038
0,0.0874790123456791,3/12/2017,0.09597894736842112
0,0.12727407407407412,3/13/2017,0.022238613861386175
0,0.09362920110192838,3/14/2017,0.03353040380047507
0,0.08848855585831068,3/15/2017,0.06896078431372553
0,0.20955036144578276,3/16/2017,0.14246987654320953
0,0.0869289772727273,3/17/2017,0.10323902439024388
0,0.19177186544342525,3/18/2017,0.12552731092436972
0,0.15868452380952383,3/19/2017,0.14740000000000014
0,0.0,3/20/2017,0.16921521739130438
0,0.19123601895734563,3/21/2017,-0.06922582781456942
0,0.057127091633466076,3/22/2017,0.034364609053497946
0,0.12713489583333332,3/23/2017,0.20613498694516913
0,0.10073783783783731,3/24/2017,0.18229486486486446
0,-0.18795758513931893,3/25/2017,-0.2903535729210217
0,-0.07875204081632652,3/26/2017,-0.15743436123348056
0,0.016734193548387094,3/27/2017,0.050603237410071895
0,0.12064457142857145,3/28/2017,0.18412032786885235
0,-0.12878067729083673,3/29/2017,0.012090333333332936
0,-0.01074244372990349,3/30/2017,0.05714183486238536
0,0.2382208016586037,3/31/2017,0.08166543778801828
0,0.2089677325581395,4/1/2017,0.21752875518671763
0,0.18732775800711754,4/2/2017,0.161835362997658
0,0.1616340807174888,4/3/2017,0.1458255483870967
0,0.15192995391705066,4/4/2017,0.07864701781564669
